ID,Nombre,Equipo,Puntaje,cantidadCompetencias
217,Flavio2 Torrealba, La Serena, 48.19, 1449
11,Nabor Roco, Universidad de Chile, 58.47, 399
70,Ismael2 Huilical, Everton, 21.56, 4850
260,Elizabeta Zamorano, Huachipato, 31.54, 2559
98,Noe Lepe, Everton, 59.24, 4413
95,Fabricio2 Suazo, Palestino, 10.74, 3010
113,Ildefonso Moyano, Colo-Colo, 1.82, 3656
411,Isaias Antileo, La Serena, 82.79, 4786
199,Diego Barrientos, Huachipato, 98.25, 3227
62,Yosef Loyola2, La Serena, 80.81, 1793
283,Alfredo Mesina, Everton, 30.51, 2908
278,Plutarco Moya2, Everton, 12.89, 1997
251,Saturnino Balboa, Palestino, 94.73, 3821
232,Isaias2 DelReal, La Serena, 40.91, 2703
73,Lautaro2 Fuentealba, La Serena, 57.88, 1068
263,Jeronimo Fuentes, Colo-Colo, 96.16, 1064
416,Antonio Zamorano, Universidad de Chile, 17.10, 1201
196,Juan2 Lemarie, Colo-Colo, 32.52, 709
332,Rigober Cornejo, Everton, 45.43, 59
203,Edgar Caceres, Universidad de Chile, 91.56, 1084
346,Patricio Ceballos, Colo-Colo, 55.00, 1005
330,Darwin Flores, Universidad de Chile, 28.38, 4940
406,Kenny Aviles, La Serena, 1.03, 4888
17,Hugo Caceres, Huachipato, 95.19, 4759
480,Amir Mir, Huachipato, 35.10, 1361
23,Jaziel Vasquez, Colo-Colo, 84.78, 974
2,Axel Leiton, Universidad de Chile, 48.28, 4155
470,Maximiliano DelValle, Everton, 16.61, 4559
455,Jaime Gandarillas, La Serena, 31.96, 3239
296,Tiburcio Orellana, La Serena, 87.13, 728
491,Jared Martic, Palestino, 0.13, 3274
352,Marcelo Jimenez, Colo-Colo, 7.21, 4146
172,Leon Villagra, Palestino, 7.50, 1717
420,Flavio2 go, Huachipato, 28.63, 3535
74,Eduardo Mardones, Universidad de Chile, 64.53, 1571
169,Boris Lois, Universidad de Chile, 38.65, 1474
331,Isaias Guerra, Colo-Colo, 22.16, 2469
190,nislao2 Cerda, Colo-Colo, 57.40, 1426
173,Dimas Villaroel, Everton, 17.39, 2404
184,Dario2 Huichalaf, Huachipato, 4.19, 2232
431,Edgar Orellana, La Serena, 67.79, 59
174,Mario3 Macchiavello, Colo-Colo, 63.61, 3259
447,Vidal Zamora, Palestino, 26.13, 3
28,Miguelangel Melendez, La Serena, 3.36, 4579
22,Hector Belmar, Palestino, 89.05, 2384
409,Isaac Mazzoni, La Serena, 35.22, 3181
307,Ivan2 Merlet, Universidad de Chile, 33.11, 32
221,Dennis Valdes, La Serena, 50.00, 840
107,Felicisimo Catricura, La Serena, 22.11, 294
486,Mauricio Carvallo, Colo-Colo, 10.10, 140
145,Isael Lavados, Palestino, 57.28, 3479
479,Iker Alvarez, Everton, 25.67, 106
87,Socorro Calfuqueo, Universidad de Chile, 13.32, 343
354,Wilfredo Maiz, Colo-Colo, 92.84, 409
446,Norberto Olmos, La Serena, 16.59, 4764
424,Raimundo Leyton, Huachipato, 29.09, 1669
266,Rito Valde, Huachipato, 62.68, 1899
31,Primo Estay, Palestino, 61.23, 1953
312,Hector2 A, La Serena, 32.71, 2703
467,Marino Plaza, Palestino, 44.07, 2483
280,Escolastico Aguilera, Universidad de Chile, 76.31, 2031
35,Logan Vasquez, Colo-Colo, 44.95, 3124
82,Laura Alveal, La Serena, 52.36, 629
109,Quintin Urra, Huachipato, 95.53, 2206
179,Marcos2 Marinovic, Palestino, 48.86, 1850
181,Wilfredo Monreal, Colo-Colo, 65.60, 461
94,Gildardo Carrillo, Universidad de Chile, 11.56, 1607
249,Rodrigo Gonzalez, Huachipato, 33.55, 353
244,Gilberto Krumm, Everton, 16.55, 4169
150,Nicanor Echeverria, Universidad de Chile, 61.48, 4349
465,Orfelio Manosalva, La Serena, 23.11, 3685
337,Ovidio Bertin, Colo-Colo, 92.00, 594
39,Tobias Ibacache, La Serena, 61.65, 3877
412,Elian Albornoz, Colo-Colo, 67.94, 1973
264,Alfonso Correa, La Serena, 12.19, 2793
388,Aitor Moller, La Serena, 88.86, 3456
469,Higinio Donoso, Universidad de Chile, 54.63, 4599
288,Ovidio Cespedes, Colo-Colo, 51.22, 4285
214,Lisandro2 Fuentes, Palestino, 30.82, 2567
104,Ariel lmonacid, Universidad de Chile, 49.02, 2519
347,Karen Meneses, Colo-Colo, 4.22, 2823
227,Heriberto Montesinos, Colo-Colo, 59.13, 4359
134,Paulo Naranjo, La Serena, 53.57, 4913
483,Sabino Saez, Universidad de Chile, 11.85, 523
461,Indalecio Benavides, Huachipato, 50.26, 3629
350,Orestes Torrealba, Huachipato, 91.24, 50
127,Jacinto Klocker, Huachipato, 7.58, 3165
471,Leoncio Luen, Colo-Colo, 50.86, 232
204,Alan Huichalaf, Everton, 75.47, 1238
187,Cornelio Huincaman, Everton, 57.80, 1608
226,Zenon Burgos, Colo-Colo, 83.56, 2620
468,Jeronimo Mateluna, Palestino, 39.76, 1640
476,Robinson Ugarte, La Serena, 93.43, 1726
433,Miguel Espina, Palestino, 79.07, 2539
324,Valeriano Cataldo, La Serena, 42.98, 2687
298,German Huichaman, La Serena, 24.69, 941
404,Freddy Neira, Everton, 67.38, 3692
493,Isael Mecina, Huachipato, 27.29, 1480
154,Ramiro Catricura, Huachipato, 46.02, 1355
119,Enzo Carmona, Palestino, 54.44, 3226
67,Pedro Gallardo, Palestino, 36.29, 4360
136,Matias2 Antinao, Everton, 71.19, 1159
265,Amancio Cortes, La Serena, 69.68, 4497
360,Isidora Lamas, Palestino, 24.86, 25
344,Lucas2 Suarez, La Serena, 38.08, 4247
20,Josue Carvajal, Colo-Colo, 40.14, 4525
205,Waldo Krebs, Huachipato, 86.77, 3099
414,Gumersindo Retamal, Universidad de Chile, 2.97, 3295
427,Faustino Jeldres, Colo-Colo, 40.03, 2517
301,Exequiel Larrondo, Colo-Colo, 61.61, 2964
320,Enzo Millar, Everton, 67.84, 1201
