ID,Nombre,Equipo,Puntaje,cantidadCompetencias
1,Ismael Cofre, Palestino ,9,100
2,Escolastico Lobos2, Colo-Colo ,51,2758
3,Cesar Huichaman, Everton ,12,4325
4,Nelson Maza, Universidad de Chile ,54,835
5,Leoncio Campos, Everton ,10,2982
6,Aurelio Barrientos, Universidad de Chile ,1,546
7,Sanson Larenas, Universidad de Chile ,57,633
8,Leonardo Pena, La Serena ,89,2878
9,Luis Zamora, Huachipato ,78,1988
10,Leopoldo Merello, Everton ,3,3776
11,Mauro Plaza, Universidad de Chile ,57,2235
12,Rafael Maluenda, Colo-Colo ,28,785
13,Marcos Cataldo, Palestino ,51,1511
14,Hipolito Inostroza, Colo-Colo ,2,3580
15,Oscar Marusic, Universidad de Chile ,91,199
16,Leoncio Retamal, Palestino ,89,3694
17,Axel Larrain, Everton ,28,2679
18,Erasmo Navarro, Universidad de Chile ,28,1770
19,Luciano Larrain, Everton ,60,4847
20,David Huenchullan, Colo-Colo ,78,3556
21,Valerio Krebs, Universidad de Chile ,27,1487
22,Aron Marquez, La Serena ,49,1113
23,Casiano Morales, Universidad de Chile ,48,2626
24,Fernando DelReal, La Serena ,81,687
25,Ulises Jimenez, Colo-Colo ,16,793
26,Lucio Lorca, Palestino ,68,3434
27,Cayetano Meneses, Colo-Colo ,84,4018
28,Darwin Bustamante, Huachipato ,51,3661
29,Bautista Leonelli, Universidad de Chile ,43,3429
30,Belisario Bordeu, La Serena ,11,3442
31,Tarsicio Mackenna, Everton ,9,1570
32,Gael Lepe, Palestino ,16,2959
33,Antonio Montiel, Huachipato ,47,4708
34,Justo Brito, Huachipato ,11,1319
35,Dorian Montenegro, Palestino ,97,1214
36,Melchor Hidalgo, La Serena ,69,2650
37,Yago Melgarejo, Colo-Colo ,92,557
38,Raul Quinteros, La Serena ,54,728
39,Remigio Galindo, Huachipato ,57,3666
40,Claudio2 Ulloa, Palestino ,32,137
41,Blas Bianchi, Everton ,5,816
42,Victoriano Lobos2, Huachipato ,97,2755
43,Ventura Neira, La Serena ,59,1906
44,Rosendo Ramirez, Colo-Colo ,13,3840
45,Celestino Reyes, Palestino ,99,678
46,Sanson Polanco, La Serena ,59,4695
47,Inigo Cantuarias, Huachipato ,1,4222
48,Joel Morand, Huachipato ,37,520
49,Walter Jerez, Huachipato ,72,2854
50,Ezequiel Gonzalez, Colo-Colo ,11,1450
51,Casiano Riquelme, Everton ,93,4009
52,Encarnacion Toledo, Palestino ,58,930
53,Rigober Medel, Colo-Colo ,33,4753
54,Elmer Hernandez, La Serena ,78,2305
55,Pablo Guerrero, La Serena ,84,3267
56,Amancio Carvajal, Everton ,96,4439
