ID,Nombre,Equipo,Puntaje,cantidadCompetencias
931,Tobias Ilabaca, La Serena, 84.40, 4826
1605,Eusebio Larrondo, Colo-Colo, 42.32, 3003
1167,Juan Lemarie, Palestino, 53.84, 3526
908,Marcos2 Leal, La Serena, 75.46, 319
1229,Damian Covarrubias, Palestino, 24.48, 3778
235,Renzo Verdugo, Colo-Colo, 98.35, 3457
976,Cosme Curilef, Huachipato, 8.01, 1466
33,Ulpiano Albornoz, Huachipato, 21.31, 550
1856,Saul Montoya, Universidad de Chile, 61.20, 2976
1612,Pascasio Mura, Palestino, 14.72, 2394
1864,Lorenzo Huilipan, Huachipato, 60.68, 1427
1673,Elio Meza, Universidad de Chile, 63.14, 3152
1781,Marcial Arroyo, Universidad de Chile, 86.18, 225
1433,Vigilio Lobos2, Huachipato, 74.89, 4429
78,Cristobal2 Gajardo, Palestino, 92.83, 4169
296,Ventura Garay, Colo-Colo, 63.96, 1793
1100,Octavio Troncoso, Colo-Colo, 49.24, 2027
373,Lisandro Meruane, La Serena, 21.46, 4119
413,Estanislao Olivares, Everton, 98.04, 182
1829,Josue2 Diaz, Universidad de Chile, 40.28, 2379
293,Valentin Berrios, Palestino, 90.02, 1224
1064,Jacobo Leonelli, La Serena, 27.61, 3677
870,Elio Jerez, Huachipato, 57.20, 3876
429,Federico Calfuqueo, Huachipato, 7.42, 2281
678,Lucio Borquez, Colo-Colo, 42.36, 66
1774,Gilberto Pastene, Everton, 2.18, 4580
1250,Recaredo Contreras, Colo-Colo, 82.46, 4536
1138,Washington Marquez, Palestino, 69.64, 2626
467,Pelayo Macchiavello, La Serena, 43.94, 374
1129,Hector Pedreros, Everton, 42.11, 230
936,Walter Huilinao, Colo-Colo, 50.58, 3654
840,Jeremias Villaroel, Palestino, 41.86, 2550
628,Jordan Villalobos, La Serena, 70.66, 2930
1585,Santiago Salas, Palestino, 27.94, 921
650,Leonardo2 Mimica, La Serena, 24.25, 3750
1554,Prudencio Toledo, La Serena, 17.69, 3007
889,Toribio Orellana, Universidad de Chile, 95.59, 1973
790,Exequiel Lozada, Universidad de Chile, 25.56, 3192
46,Gonzalo Griffero, Universidad de Chile, 7.86, 2566
332,Florencio DelSolar, Palestino, 4.04, 3206
1186,Miguel Marquet, Palestino, 82.56, 3456
1581,Conrado Valencia, Palestino, 13.23, 458
1117,Alex Cisternas, Palestino, 55.94, 1092
1818,Sabino Huilinao, La Serena, 28.88, 2488
1173,Valeriano Lillo, La Serena, 6.80, 230
776,Bautista Lucchini, Universidad de Chile, 14.15, 4639
616,Quirino Ceballos, Palestino, 77.45, 3349
1789,Ceferino Arroyo, Universidad de Chile, 16.29, 1164
1417,Eros Bolados, Palestino, 33.30, 4375
182,Desiderio Carrera, Palestino, 93.42, 4593
1160,Quentin Medina, Everton, 51.43, 557
120,Kai Tejos, Everton, 95.99, 687
1014,Hernan Berrios, Colo-Colo, 47.15, 2050
1017,Esta Quintana, La Serena, 81.07, 4991
1216,Exequiel Vega, Universidad de Chile, 54.80, 793
1924,Vidal Monardes, Palestino, 0.64, 4306
1477,Freddy Bravo, Colo-Colo, 88.98, 1905
1008,Francisco Garrido, Colo-Colo, 95.96, 4459
1643,Bonifacio Flores, Colo-Colo, 26.10, 4776
186,Pascual go, La Serena, 11.97, 1394
633,Bernardo Lavados, Huachipato, 56.49, 4872
756,Sumo Huenuman, La Serena, 44.30, 144
1144,Alejandro Bustos, La Serena, 50.13, 1353
1415,Elizabeta Leiton, Colo-Colo, 10.20, 102
1439,Robinson Meruane, Huachipato, 31.58, 2454
267,Fernando Lois, La Serena, 3.98, 2239
414,Agapito Contreras, Huachipato, 27.56, 2477
1736,Nicomedes Albornoz, La Serena, 50.72, 4487
1549,Conrado Mir, Palestino, 95.59, 120
1147,Justo Curilef, Colo-Colo, 97.81, 4426
578,Jaime Ovalle, Huachipato, 50.32, 2133
94,Joaquin Opazo, Universidad de Chile, 48.52, 3404
1093,Casandro Menchaca, La Serena, 66.59, 210
1479,Olegario Bordeu, Palestino, 89.09, 1247
1938,Javier2 Moriconi, Universidad de Chile, 50.33, 4324
888,Jairo Maturana, La Serena, 28.43, 4928
53,Nestor Mateluna, Everton, 20.25, 30
662,Genaro Pino, Huachipato, 62.24, 3445
108,German Baeza, Palestino, 88.82, 4204
1067,Rosendo Iturriaga, La Serena, 51.71, 507
571,Lautaro Guerra, Huachipato, 76.43, 3448
352,Silverio Acevedo, Palestino, 52.24, 4102
998,Lisandro2 Dominguez, Colo-Colo, 7.81, 967
1245,Clemente2 Ruiz, La Serena, 47.26, 2389
1473,Zacarias Montero, Everton, 24.52, 329
1052,Bastian Ramirez, Universidad de Chile, 18.85, 3847
1902,Juan Merlet, La Serena, 6.10, 3739
1041,Dalmacio Gandarillas, Huachipato, 34.09, 4
624,Elian Lozada, Huachipato, 61.35, 1128
241,Rolando Belmar, Huachipato, 54.84, 1316
559,Ciro2 Poblete, Huachipato, 85.96, 3094
76,Fabricio2 Maira, La Serena, 90.97, 0
1758,Fidel Aravena, La Serena, 61.09, 21
848,Wilfredo Ureta, Colo-Colo, 33.24, 3046
842,Leopoldo Covarrubias, Colo-Colo, 71.39, 269
1927,Renato Bustamante, Everton, 7.52, 3617
1007,Fabian Huilical, Huachipato, 80.31, 478
991,Justo Calquin, Everton, 70.92, 4203
316,Enzo Jerez, La Serena, 3.60, 4401
1035,Celestino Latorre, Everton, 73.60, 4552
1931,Fernando2 Leal, Huachipato, 1.55, 1690
1697,Eriberto Melgarejo, Universidad de Chile, 84.38, 3871
855,Gonzalo Letelier, La Serena, 9.26, 2944
949,Osvaldo Massardo, Everton, 53.03, 3922
418,Washington Longueira, Huachipato, 69.07, 1217
1906,Nicolas Matamala, Huachipato, 45.75, 4058
286,Jordan Pezo, Palestino, 4.31, 375
1018,Elio Mulet, Huachipato, 61.80, 4066
1405,Cayetano2 Flores, Everton, 85.45, 1383
520,Khalil Pezo, Colo-Colo, 33.38, 3187
1901,Servando Roco, Palestino, 26.37, 128
932,Martin2 lmonacid, Huachipato, 75.72, 2858
21,Perfecto Opazo, Colo-Colo, 81.36, 4491
721,Joel Opazo, Palestino, 57.57, 2588
1120,Tobias Pedreros, Everton, 50.97, 255
498,Gumersindo Meruane, La Serena, 59.41, 4943
570,Israel Morales2, Palestino, 65.38, 2145
800,Marcos2 Cabrera, Universidad de Chile, 34.25, 3448
17,Teofilo Ruiz, Colo-Colo, 70.67, 4782
1990,Gonzalo2 Rodriguez, La Serena, 10.91, 4114
1397,Lisandro Ferrada, Everton, 33.38, 3585
1883,Obdulio Pezo, Universidad de Chile, 6.93, 446
1243,Erasmo2 Menchaca, Everton, 18.35, 2642
505,Logan Cayuqueo, La Serena, 33.68, 862
1303,Estanislao Catricura, La Serena, 49.38, 4845
1810,Patricio Rios, Everton, 81.30, 2363
919,Remigio Palma, Colo-Colo, 42.61, 2867
708,Fernando Vega, Everton, 61.00, 3064
1128,Sabino Melgarejo, Universidad de Chile, 95.58, 4778
1513,Pascasio Olmos, Huachipato, 20.97, 3139
185,Nelson Uribe, Huachipato, 82.99, 3972
1024,Xavier Campos, Colo-Colo, 33.14, 3402
1918,Leoncio Marinovic, Universidad de Chile, 28.17, 3072
434,Romualdo Montiel, Palestino, 9.33, 2274
1073,Recaredo Faundez, Palestino, 38.65, 1867
1429,Cristobal Gutierrez, Huachipato, 33.91, 4950
495,Pascasio Saavedra, La Serena, 10.14, 3641
327,Anibal Ibarra, Colo-Colo, 28.84, 4150
1839,Silvio Silva, Colo-Colo, 92.12, 461
811,Bonifacio Retamal, Huachipato, 26.29, 2251
955,Israel Lillo, Everton, 94.12, 377
1301,Erasmo lmonacid, Universidad de Chile, 66.62, 1820
102,Asael Arcos, Huachipato, 80.90, 1563
232,Rancel Marenzi, Everton, 49.55, 1779
269,Edelmiro Toro, La Serena, 84.47, 4578
805,Calixto Leonelli, Universidad de Chile, 41.18, 2837
322,Ramiro Huilical, Huachipato, 29.50, 887
843,Omar Calfuqueo, Universidad de Chile, 21.78, 1263
1158,Cipriano Belmar, Everton, 11.06, 4774
1244,Mariano Messina, Huachipato, 80.02, 3109
730,Nicolas Plaza, Everton, 96.40, 4772
1182,Fernando Krumm, La Serena, 24.88, 276
317,Alonso2 Chacana, Colo-Colo, 76.12, 1865
1022,Mariano2 Griffero, Everton, 55.90, 4876
1446,Eriberto Celis, Universidad de Chile, 81.80, 1639
103,Segismundo Navarro2, Palestino, 75.51, 1690
1354,Zebedeo Marinovic, Everton, 49.55, 3810
1112,Belisario Chiguay, Huachipato, 45.86, 3125
424,Mateo2 DeLaFuente, Huachipato, 13.90, 185
540,Miguelangel benito, Everton, 97.95, 3209
1070,Jordy Huichalaf, Universidad de Chile, 72.09, 615
115,Prudencio Maluenda, Huachipato, 44.16, 1540
1567,Timoteo Menchaca, Universidad de Chile, 33.96, 1053
1981,Lorenzo Macaya, Everton, 48.38, 2488
646,Eugenio2 Villagra, Huachipato, 20.41, 4034
1287,Junior Molina, Palestino, 20.27, 3550
1255,Perfecto DelCanto, Everton, 95.88, 995
149,Jonas Acevedo, Huachipato, 54.49, 999
1960,Iker2 A, Universidad de Chile, 43.41, 1366
978,Conrado Jeldres, Colo-Colo, 70.12, 1983
1707,Israel Lorca, Palestino, 37.93, 3861
466,Lino Carvajal, Everton, 93.92, 1957
693,Ventura Flores, Palestino, 91.73, 78
1889,Facundo Klocker, Universidad de Chile, 68.30, 620
651,Gisela Yanez, Palestino, 1.36, 276
401,Karen Leiva, Universidad de Chile, 14.30, 46
211,Saul Aburto, La Serena, 88.97, 3666
1281,Solano Castillo, Colo-Colo, 44.26, 2691
1628,Teodoro Catalan, Colo-Colo, 48.65, 3969
1840,Magn Letelier, Huachipato, 59.02, 1407
1263,Damian Bastias, La Serena, 46.26, 365
994,Rolando Marquez, Palestino, 11.14, 2121
69,Boris Cardenas, Colo-Colo, 12.59, 4831
953,Josue2 Santana, La Serena, 28.87, 2841
1481,Lisandro2 Hernandez, Colo-Colo, 90.71, 1055
1398,Elias Colque, Colo-Colo, 21.84, 3657
1346,Rigober Cifuentes, Colo-Colo, 85.44, 3677
1858,Alonso2 Mayorga, Huachipato, 87.60, 104
531,Emanuel Alvarez, Universidad de Chile, 40.94, 1550
793,Mateo Figueroa, Everton, 97.66, 61
660,Josue2 Villavicencio, La Serena, 79.91, 4325
1282,Elpidio Mellado, Huachipato, 28.21, 3605
1447,Lucas2 Toledo, Huachipato, 43.26, 4841
500,Moises Foncea, La Serena, 17.33, 456
909,Alex Melgarejo, Palestino, 68.67, 590
632,Rolando Escalona, Everton, 20.67, 2585
1705,Fabiola Ortiz, Everton, 50.82, 3135
506,Reinaldo Vargas, Colo-Colo, 30.59, 3633
1084,Zacarias Quiroz, Huachipato, 5.16, 2641
142,Isaias Moreno2, Huachipato, 51.38, 3123
1873,Rodolfo Munoz, La Serena, 75.65, 579
959,Ramon Suazo, Everton, 27.19, 988
92,Isidora Estay, Universidad de Chile, 42.09, 4631
422,Silvio Rodriguez, La Serena, 16.49, 333
483,Isaias2 Caroca, Huachipato, 15.82, 4849
1847,Hernan2 Mayorga, Palestino, 85.13, 4971
501,Eugenio Angulo, Universidad de Chile, 94.70, 284
1757,Zenon Cespedes, Huachipato, 75.04, 1248
834,Estanislao Ibarra, Everton, 19.40, 2021
944,Evaristo2 Arroyo, Palestino, 22.11, 3290
1062,Cristian Griffero, La Serena, 22.05, 3924
804,Giovanni Ilabaca, Everton, 10.65, 881
1852,Quintin Arcos, Huachipato, 96.87, 2352
851,Leon Millar, La Serena, 15.70, 936
1338,Federico Griffero, Huachipato, 35.80, 4040
599,Amir Acosta, Palestino, 46.50, 3057
828,o Lucero, Palestino, 29.89, 453
1776,Tito Naranjo, Everton, 87.08, 4477
306,Reinaldo Torrealba, Everton, 41.67, 4006
1307,Jean Ibarra, Everton, 19.16, 4604
1795,Cosme Ugarte, Palestino, 6.57, 2071
1743,Dionel Nail, Colo-Colo, 46.47, 2036
1322,Teofilo Fuenzalida, Palestino, 44.63, 4668
1958,Aldo Lira, La Serena, 92.89, 1527
934,Leonardo2 Coloma, Everton, 63.29, 1731
1328,Perfecto Marcone, Everton, 5.90, 2023
686,Agustin Latapiat, Universidad de Chile, 9.80, 4702
1529,David Moraga, Colo-Colo, 28.90, 2679
1050,Leocadio Merlet, Universidad de Chile, 48.10, 3598
1679,Dorian Pedreros, Colo-Colo, 56.57, 4812
1125,Elio Sarabia, Huachipato, 56.97, 3903
1394,Socorro Luna, Colo-Colo, 53.75, 3495
1621,Vicente Chacana, Everton, 0.55, 2697
928,Ceferino Fuentes, Palestino, 81.16, 3827
1665,Quirino Montalba, Everton, 77.16, 3325
1355,Ulises Mulet, Huachipato, 96.04, 1274
723,Bastian Suarez, Everton, 34.02, 4734
938,Hilario Minoletti, Huachipato, 60.67, 4160
1193,Armando Ibacache, La Serena, 69.07, 4946
993,Mauricio Vega, Palestino, 41.35, 639
1496,Sergio Merello, La Serena, 56.22, 3622
1649,Anselmo Perez, Palestino, 79.63, 3546
308,Cesar Huerta, Palestino, 7.50, 346
1570,Giovanni Valdivia, Everton, 73.27, 2544
1071,Quentin Bolados, La Serena, 85.76, 4728
1907,Aitor Velasquez, Colo-Colo, 11.81, 1597
1199,Manuel Bascur, Palestino, 2.62, 2942
224,Robinson Monardes, Universidad de Chile, 80.24, 716
1436,Gines Gatica, Everton, 25.56, 1264
1134,Jaime Mackenna, La Serena, 54.91, 2610
1043,to Inostroza, Everton, 36.39, 418
1006,Casiano Villavicencio, Everton, 63.25, 2174
1647,Tobias Torrealba, Universidad de Chile, 10.67, 4236
140,Teofilo Guerra, Everton, 39.52, 1168
1664,Valerio Matamala, Universidad de Chile, 99.73, 3352
1995,Eriberto Santana, Everton, 77.92, 3788
1528,Mauricio Bustos, La Serena, 55.84, 424
342,Khalil Encina, La Serena, 19.92, 4031
319,Leoncio Quintana, Huachipato, 7.85, 4581
952,Rogelio Valde, Universidad de Chile, 85.18, 1809
1824,Sergio Nunez, Universidad de Chile, 13.42, 1220
1566,Guido2 Guerrero, Huachipato, 44.22, 457
1791,Esteban Benavides, Universidad de Chile, 1.26, 3121
1991,Toribio Acevedo, Palestino, 80.26, 3127
1059,Erostrato Espinoza, Palestino, 73.15, 2955
1640,Leoncio Leonelli, Palestino, 19.61, 2075
711,Fabian Mella, Colo-Colo, 10.16, 66
573,Saturnino Monje, Everton, 15.23, 1782
122,Norberto Pavez, Palestino, 85.86, 872
469,Marcelo2 Melendez, Palestino, 10.51, 4397
1597,Zacarias Illanes, Everton, 17.32, 4768
922,Geronimo Jara, Palestino, 59.32, 2498
637,Emanuel Cisternas, Colo-Colo, 47.27, 3954
1360,David Gallardo, La Serena, 55.85, 4383
1932,Cristobal Carvajal, Everton, 77.30, 3534
1372,Olegario Herrera, Huachipato, 50.59, 3307
134,Justino2 Chacon, Everton, 98.00, 4666
676,Baltazar Mosso, Universidad de Chile, 86.16, 3840
1347,Ceferino Urrutia, Palestino, 13.95, 196
347,Lorenzo2 Mackenna, Colo-Colo, 10.37, 165
1984,Lautaro2 Pedreros, Universidad de Chile, 90.24, 780
1388,Ruperto Becerra, Everton, 12.60, 4324
329,Jairo2 Mardones, Palestino, 65.94, 1656
1497,Raul Bustos, Huachipato, 49.46, 4717
524,Benjamin Mancilla, La Serena, 69.05, 614
1206,Policarpo Verdugo, Universidad de Chile, 22.21, 1827
1176,Ezequiel Molina, La Serena, 13.39, 4456
867,Hilario Cayuqueo, Universidad de Chile, 43.79, 4201
1202,Humberto Melita, Everton, 22.43, 1722
685,Macario Morande, Everton, 82.51, 67
680,Lisandro2 Dominguez, Colo-Colo, 27.00, 1950
374,Adriel Roco, Huachipato, 42.89, 2976
810,Xavier Acosta, La Serena, 40.63, 3466
1837,Fernando2 Jerez, Universidad de Chile, 40.92, 1777
1522,Hector2 Chacon, La Serena, 60.70, 2951
533,Cristobal Barrios, Huachipato, 1.66, 2914
1371,Solano Maza, Universidad de Chile, 23.49, 1756
477,Geronimo Fuenzalida, Palestino, 4.69, 2329
794,Timoteo Baeza, Colo-Colo, 43.90, 255
421,Solano Dominguez, Colo-Colo, 12.60, 688
1091,Ciro Cuevas, Colo-Colo, 21.77, 1449
720,Encarnacion Cantuarias, La Serena, 19.47, 75
795,Feliciano Carmona, Universidad de Chile, 38.80, 306
1466,Gonzalo2 A, Huachipato, 10.79, 4041
1342,Fortunato2 Lermanda, Everton, 21.88, 575
442,Giovanni Mansilla, Universidad de Chile, 95.46, 2935
1888,Jenaro Santana, Huachipato, 21.82, 2545
1975,Sabino Montes, Everton, 35.92, 3400
771,Clarence Mantegazza, Huachipato, 53.63, 1024
496,Norberto Curilef, Everton, 32.58, 2540
1365,Raul Catricura, Palestino, 37.03, 4356
91,Melchor Marenzi, Universidad de Chile, 52.25, 4144
1317,Khalil Vidal, Colo-Colo, 86.97, 2042
1412,Valentin2 Landarretche, Colo-Colo, 25.63, 3939
1935,Robinson Gutierrez, Colo-Colo, 80.42, 33
197,Urbano DeLaCruz, Colo-Colo, 93.32, 2211
443,Gines Millan, La Serena, 8.23, 939
318,Felix Elizalde, Palestino, 10.88, 1982
1161,Elizabeta Huichalaf, Huachipato, 0.88, 2805
608,Raimundo Moffat, La Serena, 48.70, 2446
522,Venancio Droguett, Everton, 8.64, 3250
1836,Rancel Chacon, Everton, 31.74, 3064
1094,Horacio Huerta, La Serena, 47.04, 4918
187,Octavio Pino, Universidad de Chile, 11.06, 3266
